3/28/2023 8:55:25 PM  Counts:405500
1419.755700000  0.000156392
1419.758629688  0.000157738
1419.761559375  0.000158647
1419.764489063  0.000160528
1419.767418750  0.000161910
1419.770348438  0.000164599
1419.773278125  0.000164136
1419.776207813  0.000165070
1419.779137500  0.000165235
1419.782067188  0.000164854
1419.784996875  0.000165333
1419.787926563  0.000165375
1419.790856250  0.000166162
1419.793785938  0.000166327
1419.796715625  0.000166854
1419.799645313  0.000168523
1419.802575000  0.000167632
1419.805504688  0.000167098
1419.808434375  0.000167282
1419.811364063  0.000168710
1419.814293750  0.000167972
1419.817223438  0.000167944
1419.820153125  0.000167466
1419.823082813  0.000168421
1419.826012500  0.000168779
1419.828942188  0.000169794
1419.831871875  0.000169854
1419.834801563  0.000169204
1419.837731250  0.000169774
1419.840660938  0.000169224
1419.843590625  0.000169034
1419.846520313  0.000169267
1419.849450000  0.000169907
1419.852379688  0.000168949
1419.855309375  0.000168528
1419.858239063  0.000169523
1419.861168750  0.000170217
1419.864098438  0.000170319
1419.867028125  0.000169911
1419.869957813  0.000169358
1419.872887500  0.000170200
1419.875817188  0.000170627
1419.878746875  0.000171840
1419.881676563  0.000170020
1419.884606250  0.000170817
1419.887535938  0.000169888
1419.890465625  0.000170898
1419.893395313  0.000170621
1419.896325000  0.000170360
1419.899254688  0.000170507
1419.902184375  0.000169777
1419.905114063  0.000170382
1419.908043750  0.000170578
1419.910973438  0.000169900
1419.913903125  0.000169720
1419.916832813  0.000170558
1419.919762500  0.000170663
1419.922692188  0.000170748
1419.925621875  0.000170414
1419.928551563  0.000169211
1419.931481250  0.000169602
1419.934410938  0.000169777
1419.937340625  0.000170160
1419.940270313  0.000170370
1419.943200000  0.000171492
1419.946129688  0.000172065
1419.949059375  0.000170363
1419.951989063  0.000171827
1419.954918750  0.000170695
1419.957848438  0.000170797
1419.960778125  0.000170420
1419.963707813  0.000171104
1419.966637500  0.000170293
1419.969567188  0.000170990
1419.972496875  0.000169467
1419.975426563  0.000170484
1419.978356250  0.000170862
1419.981285938  0.000170198
1419.984215625  0.000170968
1419.987145313  0.000169489
1419.990075000  0.000171164
1419.993004688  0.000169272
1419.995934375  0.000168460
1419.998864063  0.000168859
1420.001793750  0.000168052
1420.004723438  0.000168607
1420.007653125  0.000168399
1420.010582813  0.000168740
1420.013512500  0.000169884
1420.016442188  0.000168210
1420.019371875  0.000167536
1420.022301563  0.000167585
1420.025231250  0.000167542
1420.028160938  0.000167529
1420.031090625  0.000168064
1420.034020313  0.000166207
1420.036950000  0.000167045
1420.039879688  0.000166524
1420.042809375  0.000167420
1420.045739063  0.000167326
1420.048668750  0.000166036
1420.051598438  0.000166403
1420.054528125  0.000166667
1420.057457813  0.000165826
1420.060387500  0.000166144
1420.063317188  0.000166297
1420.066246875  0.000165984
1420.069176563  0.000166698
1420.072106250  0.000168255
1420.075035938  0.000167530
1420.077965625  0.000167751
1420.080895313  0.000167835
1420.083825000  0.000169137
1420.086754688  0.000169409
1420.089684375  0.000169276
1420.092614063  0.000170159
1420.095543750  0.000170722
1420.098473438  0.000170516
1420.101403125  0.000171275
1420.104332813  0.000172184
1420.107262500  0.000173606
1420.110192188  0.000174334
1420.113121875  0.000173961
1420.116051563  0.000173711
1420.118981250  0.000173947
1420.121910938  0.000174089
1420.124840625  0.000173296
1420.127770313  0.000173655
1420.130700000  0.000174106
1420.133629688  0.000175328
1420.136559375  0.000174388
1420.139489063  0.000173293
1420.142418750  0.000173156
1420.145348438  0.000172986
1420.148278125  0.000172676
1420.151207813  0.000171036
1420.154137500  0.000170613
1420.157067188  0.000169930
1420.159996875  0.000169360
1420.162926563  0.000168660
1420.165856250  0.000168963
1420.168785938  0.000167951
1420.171715625  0.000167876
1420.174645313  0.000167873
1420.177575000  0.000168019
1420.180504688  0.000166296
1420.183434375  0.000166455
1420.186364063  0.000165737
1420.189293750  0.000166474
1420.192223438  0.000166539
1420.195153125  0.000166368
1420.198082813  0.000167240
1420.201012500  0.000167046
1420.203942188  0.000166629
