3/28/2023 8:36:58 PM  Counts:405500
1419.755700000  0.000165616
1419.758629688  0.000165576
1419.761559375  0.000164976
1419.764489063  0.000164650
1419.767418750  0.000164754
1419.770348438  0.000164543
1419.773278125  0.000164137
1419.776207813  0.000166389
1419.779137500  0.000163604
1419.782067188  0.000163582
1419.784996875  0.000162731
1419.787926563  0.000163262
1419.790856250  0.000163819
1419.793785938  0.000163817
1419.796715625  0.000164379
1419.799645313  0.000164849
1419.802575000  0.000165098
1419.805504688  0.000164716
1419.808434375  0.000165471
1419.811364063  0.000164481
1419.814293750  0.000164724
1419.817223438  0.000164025
1419.820153125  0.000163672
1419.823082813  0.000164769
1419.826012500  0.000164408
1419.828942188  0.000165966
1419.831871875  0.000164997
1419.834801563  0.000165089
1419.837731250  0.000165899
1419.840660938  0.000164199
1419.843590625  0.000165135
1419.846520313  0.000164307
1419.849450000  0.000164224
1419.852379688  0.000164925
1419.855309375  0.000164328
1419.858239063  0.000165313
1419.861168750  0.000165871
1419.864098438  0.000166312
1419.867028125  0.000165834
1419.869957813  0.000165220
1419.872887500  0.000165285
1419.875817188  0.000167288
1419.878746875  0.000165005
1419.881676563  0.000165819
1419.884606250  0.000165440
1419.887535938  0.000165396
1419.890465625  0.000166680
1419.893395313  0.000165022
1419.896325000  0.000166939
1419.899254688  0.000165503
1419.902184375  0.000165398
1419.905114063  0.000166609
1419.908043750  0.000166119
1419.910973438  0.000166185
1419.913903125  0.000167038
1419.916832813  0.000166737
1419.919762500  0.000167263
1419.922692188  0.000167318
1419.925621875  0.000167675
1419.928551563  0.000168311
1419.931481250  0.000168009
1419.934410938  0.000167746
1419.937340625  0.000167360
1419.940270313  0.000167269
1419.943200000  0.000169262
1419.946129688  0.000167318
1419.949059375  0.000167288
1419.951989063  0.000169098
1419.954918750  0.000168095
1419.957848438  0.000169096
1419.960778125  0.000168051
1419.963707813  0.000168381
1419.966637500  0.000167881
1419.969567188  0.000168311
1419.972496875  0.000167724
1419.975426563  0.000168941
1419.978356250  0.000168200
1419.981285938  0.000169012
1419.984215625  0.000169261
1419.987145313  0.000168759
1419.990075000  0.000169779
1419.993004688  0.000169063
1419.995934375  0.000168791
1419.998864063  0.000168303
1420.001793750  0.000168063
1420.004723438  0.000168251
1420.007653125  0.000167782
1420.010582813  0.000168620
1420.013512500  0.000169561
1420.016442188  0.000169299
1420.019371875  0.000168685
1420.022301563  0.000168362
1420.025231250  0.000168469
1420.028160938  0.000168346
1420.031090625  0.000168497
1420.034020313  0.000168734
1420.036950000  0.000168084
1420.039879688  0.000168992
1420.042809375  0.000170328
1420.045739063  0.000169744
1420.048668750  0.000170156
1420.051598438  0.000169977
1420.054528125  0.000169779
1420.057457813  0.000169333
1420.060387500  0.000169954
1420.063317188  0.000169369
1420.066246875  0.000168529
1420.069176563  0.000169493
1420.072106250  0.000170436
1420.075035938  0.000169899
1420.077965625  0.000170582
1420.080895313  0.000170487
1420.083825000  0.000170658
1420.086754688  0.000170395
1420.089684375  0.000170353
1420.092614063  0.000169974
1420.095543750  0.000170678
1420.098473438  0.000170089
1420.101403125  0.000171153
1420.104332813  0.000171585
1420.107262500  0.000173836
1420.110192188  0.000172829
1420.113121875  0.000172609
1420.116051563  0.000172463
1420.118981250  0.000172307
1420.121910938  0.000172390
1420.124840625  0.000171678
1420.127770313  0.000172378
1420.130700000  0.000172571
1420.133629688  0.000173234
1420.136559375  0.000173289
1420.139489063  0.000173257
1420.142418750  0.000173878
1420.145348438  0.000174217
1420.148278125  0.000173889
1420.151207813  0.000173045
1420.154137500  0.000173081
1420.157067188  0.000173034
1420.159996875  0.000173696
1420.162926563  0.000172935
