3/28/2023 8:25:26 PM  Counts:405500
1419.755700000  0.000180634
1419.758629688  0.000179408
1419.761559375  0.000179115
1419.764489063  0.000180707
1419.767418750  0.000179441
1419.770348438  0.000180362
1419.773278125  0.000179896
1419.776207813  0.000182219
1419.779137500  0.000181243
1419.782067188  0.000180189
1419.784996875  0.000179426
1419.787926563  0.000179733
1419.790856250  0.000178195
1419.793785938  0.000179540
1419.796715625  0.000180129
1419.799645313  0.000180478
1419.802575000  0.000180993
1419.805504688  0.000179333
1419.808434375  0.000181446
1419.811364063  0.000182207
1419.814293750  0.000179414
1419.817223438  0.000181151
1419.820153125  0.000178689
1419.823082813  0.000180456
1419.826012500  0.000180205
1419.828942188  0.000180219
1419.831871875  0.000180580
1419.834801563  0.000179388
1419.837731250  0.000180273
1419.840660938  0.000181712
1419.843590625  0.000181167
1419.846520313  0.000179844
1419.849450000  0.000181331
1419.852379688  0.000178576
1419.855309375  0.000180076
1419.858239063  0.000180199
1419.861168750  0.000179606
1419.864098438  0.000180020
1419.867028125  0.000179187
1419.869957813  0.000182002
1419.872887500  0.000180021
1419.875817188  0.000181313
1419.878746875  0.000180126
1419.881676563  0.000179458
1419.884606250  0.000179217
1419.887535938  0.000180143
1419.890465625  0.000180366
1419.893395313  0.000180092
1419.896325000  0.000179078
1419.899254688  0.000178669
1419.902184375  0.000180042
1419.905114063  0.000180183
1419.908043750  0.000180113
1419.910973438  0.000178978
1419.913903125  0.000179342
1419.916832813  0.000180786
1419.919762500  0.000179786
1419.922692188  0.000179868
1419.925621875  0.000181143
1419.928551563  0.000179693
1419.931481250  0.000183557
1419.934410938  0.000179371
1419.937340625  0.000180257
1419.940270313  0.000180006
1419.943200000  0.000179635
1419.946129688  0.000180836
1419.949059375  0.000179708
1419.951989063  0.000180701
1419.954918750  0.000180869
1419.957848438  0.000180608
1419.960778125  0.000182358
1419.963707813  0.000182799
1419.966637500  0.000180226
1419.969567188  0.000181589
1419.972496875  0.000180054
1419.975426563  0.000181424
1419.978356250  0.000181268
1419.981285938  0.000180947
1419.984215625  0.000181167
1419.987145313  0.000181663
1419.990075000  0.000181994
1419.993004688  0.000183422
1419.995934375  0.000180208
1419.998864063  0.000181045
1420.001793750  0.000181117
1420.004723438  0.000180656
1420.007653125  0.000180739
1420.010582813  0.000181802
1420.013512500  0.000182049
1420.016442188  0.000181953
1420.019371875  0.000181958
1420.022301563  0.000182466
1420.025231250  0.000181712
1420.028160938  0.000181757
1420.031090625  0.000183814
1420.034020313  0.000181729
1420.036950000  0.000182090
1420.039879688  0.000183064
1420.042809375  0.000182613
1420.045739063  0.000184054
1420.048668750  0.000183414
1420.051598438  0.000184665
1420.054528125  0.000185021
1420.057457813  0.000184004
1420.060387500  0.000184695
1420.063317188  0.000184326
1420.066246875  0.000184498
1420.069176563  0.000186553
1420.072106250  0.000186957
1420.075035938  0.000186985
1420.077965625  0.000187796
1420.080895313  0.000188973
1420.083825000  0.000189813
1420.086754688  0.000189551
1420.089684375  0.000188279
1420.092614063  0.000188922
1420.095543750  0.000190465
1420.098473438  0.000190455
1420.101403125  0.000192516
1420.104332813  0.000191849
1420.107262500  0.000195388
1420.110192188  0.000193643
1420.113121875  0.000195969
1420.116051563  0.000194780
1420.118981250  0.000195884
1420.121910938  0.000197134
1420.124840625  0.000198392
1420.127770313  0.000198012
1420.130700000  0.000199154
1420.133629688  0.000200524
1420.136559375  0.000201006
1420.139489063  0.000201666
1420.142418750  0.000203597
1420.145348438  0.000204960
1420.148278125  0.000204937
1420.151207813  0.000204130
1420.154137500  0.000205591
1420.157067188  0.000206552
1420.159996875  0.000208108
1420.162926563  0.000208156
1420.165856250  0.000208318
1420.168785938  0.000208307
1420.171715625  0.000208962
1420.174645313  0.000210507
1420.177575000  0.000209380
1420.180504688  0.000208162
1420.183434375  0.000209040
1420.186364063  0.000208621
1420.189293750  0.000208072
1420.192223438  0.000207850
1420.195153125  0.000207128
1420.198082813  0.000205826
1420.201012500  0.000206645
1420.203942188  0.000205662
1420.206871875  0.000205767
1420.209801563  0.000202332
1420.212731250  0.000202483
1420.215660938  0.000201832
1420.218590625  0.000199889
1420.221520313  0.000200991
1420.224450000  0.000199213
1420.227379688  0.000198316
1420.230309375  0.000197613
1420.233239063  0.000197569
1420.236168750  0.000196038
1420.239098438  0.000195341
1420.242028125  0.000193589
1420.244957813  0.000193072
1420.247887500  0.000191742
1420.250817188  0.000190627
1420.253746875  0.000190213
1420.256676563  0.000188461
1420.259606250  0.000188628
1420.262535938  0.000188517
1420.265465625  0.000188090
1420.268395313  0.000187793
1420.271325000  0.000185570
1420.274254688  0.000186988
1420.277184375  0.000187234
1420.280114063  0.000186013
1420.283043750  0.000184898
1420.285973438  0.000184489
1420.288903125  0.000183501
1420.291832813  0.000183534
1420.294762500  0.000184955
1420.297692188  0.000182212
1420.300621875  0.000182557
1420.303551563  0.000181381
1420.306481250  0.000184376
1420.309410938  0.000182371
1420.312340625  0.000181825
1420.315270313  0.000182985
1420.318200000  0.000181963
1420.321129688  0.000182292
1420.324059375  0.000182354
1420.326989063  0.000182296
1420.329918750  0.000182172
1420.332848438  0.000180726
1420.335778125  0.000181518
1420.338707813  0.000181749
1420.341637500  0.000181478
1420.344567188  0.000181091
1420.347496875  0.000181844
1420.350426563  0.000180348
1420.353356250  0.000181837
1420.356285938  0.000182335
1420.359215625  0.000181671
1420.362145313  0.000181550
1420.365075000  0.000180658
1420.368004688  0.000180240
1420.370934375  0.000181004
1420.373864063  0.000181195
1420.376793750  0.000180980
1420.379723438  0.000180241
1420.382653125  0.000182182
1420.385582813  0.000181505
1420.388512500  0.000181903
1420.391442188  0.000179208
1420.394371875  0.000178364
1420.397301563  0.000181650
1420.400231250  0.000181540
1420.403160938  0.000180866
1420.406090625  0.000181727
1420.409020313  0.000181551
1420.411950000  0.000180398
1420.414879688  0.000181624
1420.417809375  0.000181061
1420.420739063  0.000181138
1420.423668750  0.000178651
1420.426598438  0.000180130
1420.429528125  0.000181413
1420.432457813  0.000179082
1420.435387500  0.000182053
1420.438317188  0.000181961
1420.441246875  0.000180744
1420.444176563  0.000181740
1420.447106250  0.000180978
1420.450035938  0.000181899
1420.452965625  0.000180983
1420.455895313  0.000179501
1420.458825000  0.000182580
1420.461754688  0.000180523
1420.464684375  0.000180644
1420.467614063  0.000180888
1420.470543750  0.000181204
1420.473473438  0.000180310
1420.476403125  0.000182981
1420.479332813  0.000180611
1420.482262500  0.000180880
1420.485192188  0.000179162
1420.488121875  0.000180048
1420.491051563  0.000180914
1420.493981250  0.000180743
1420.496910938  0.000181872
1420.499840625  0.000180448
1420.502770313  0.000181325
1420.505700000  0.000183012
1420.508629688  0.000180542
1420.511559375  0.000180503
1420.514489063  0.000180624
1420.517418750  0.000180197
1420.520348438  0.000180357
1420.523278125  0.000180801
1420.526207813  0.000181140
1420.529137500  0.000180917
1420.532067188  0.000179815
1420.534996875  0.000180722
1420.537926563  0.000181197
1420.540856250  0.000181509
1420.543785938  0.000181426
1420.546715625  0.000179785
1420.549645313  0.000181818
1420.552575000  0.000179994
1420.555504688  0.000181454
1420.558434375  0.000180713
1420.561364063  0.000179754
1420.564293750  0.000182334
1420.567223438  0.000182991
1420.570153125  0.000180690
1420.573082813  0.000181758
1420.576012500  0.000179349
1420.578942188  0.000180291
1420.581871875  0.000182765
1420.584801563  0.000181122
