3/28/2023 8:39:16 PM  Counts:405500
1419.755700000  0.000172489
1419.758629688  0.000172301
1419.761559375  0.000171726
1419.764489063  0.000171215
1419.767418750  0.000171165
1419.770348438  0.000171097
1419.773278125  0.000170710
1419.776207813  0.000172578
1419.779137500  0.000169934
1419.782067188  0.000170283
1419.784996875  0.000169145
1419.787926563  0.000169923
1419.790856250  0.000170577
1419.793785938  0.000170296
1419.796715625  0.000170894
1419.799645313  0.000171586
1419.802575000  0.000171850
1419.805504688  0.000171594
1419.808434375  0.000172047
1419.811364063  0.000170931
1419.814293750  0.000170976
1419.817223438  0.000170575
1419.820153125  0.000170411
1419.823082813  0.000171546
1419.826012500  0.000171267
1419.828942188  0.000172561
1419.831871875  0.000171773
1419.834801563  0.000172201
1419.837731250  0.000172268
1419.840660938  0.000170675
1419.843590625  0.000171645
1419.846520313  0.000171359
1419.849450000  0.000170786
1419.852379688  0.000171450
1419.855309375  0.000170845
1419.858239063  0.000172033
1419.861168750  0.000172240
1419.864098438  0.000173140
1419.867028125  0.000172849
1419.869957813  0.000171993
1419.872887500  0.000171897
1419.875817188  0.000173492
1419.878746875  0.000171875
1419.881676563  0.000172428
1419.884606250  0.000172325
1419.887535938  0.000172237
1419.890465625  0.000173645
1419.893395313  0.000172063
1419.896325000  0.000173577
1419.899254688  0.000172599
1419.902184375  0.000172434
1419.905114063  0.000173440
1419.908043750  0.000172645
1419.910973438  0.000172991
1419.913903125  0.000173710
1419.916832813  0.000173536
1419.919762500  0.000174773
1419.922692188  0.000174326
1419.925621875  0.000174967
1419.928551563  0.000175120
1419.931481250  0.000174622
1419.934410938  0.000174767
1419.937340625  0.000174160
1419.940270313  0.000174166
1419.943200000  0.000175755
1419.946129688  0.000174694
1419.949059375  0.000174043
1419.951989063  0.000175956
1419.954918750  0.000175128
1419.957848438  0.000176446
1419.960778125  0.000174852
1419.963707813  0.000175327
1419.966637500  0.000174969
1419.969567188  0.000175263
1419.972496875  0.000174270
1419.975426563  0.000175532
1419.978356250  0.000174986
1419.981285938  0.000175632
1419.984215625  0.000176287
1419.987145313  0.000175567
1419.990075000  0.000177327
1419.993004688  0.000175901
