3/28/2023 8:02:22 PM  Counts:405500
1419.755700000  0.000138779
1419.758629688  0.000138475
1419.761559375  0.000138767
1419.764489063  0.000138951
1419.767418750  0.000139424
1419.770348438  0.000139065
1419.773278125  0.000139177
1419.776207813  0.000140150
1419.779137500  0.000139509
1419.782067188  0.000139521
1419.784996875  0.000139289
1419.787926563  0.000139074
1419.790856250  0.000139128
1419.793785938  0.000139087
1419.796715625  0.000139394
1419.799645313  0.000139282
1419.802575000  0.000139706
1419.805504688  0.000139272
1419.808434375  0.000139285
1419.811364063  0.000139995
1419.814293750  0.000139379
1419.817223438  0.000139464
1419.820153125  0.000139318
1419.823082813  0.000139422
1419.826012500  0.000139455
1419.828942188  0.000139418
1419.831871875  0.000139245
1419.834801563  0.000139433
1419.837731250  0.000139390
1419.840660938  0.000139592
1419.843590625  0.000139505
1419.846520313  0.000139280
1419.849450000  0.000139781
1419.852379688  0.000139238
1419.855309375  0.000139421
1419.858239063  0.000139423
1419.861168750  0.000139251
1419.864098438  0.000139337
1419.867028125  0.000139392
1419.869957813  0.000139660
1419.872887500  0.000139559
1419.875817188  0.000139315
1419.878746875  0.000139500
1419.881676563  0.000139413
1419.884606250  0.000139264
1419.887535938  0.000139536
1419.890465625  0.000139261
1419.893395313  0.000139181
1419.896325000  0.000139151
1419.899254688  0.000138975
1419.902184375  0.000139378
1419.905114063  0.000139420
1419.908043750  0.000139407
1419.910973438  0.000139201
1419.913903125  0.000139052
1419.916832813  0.000139195
1419.919762500  0.000139102
1419.922692188  0.000138804
1419.925621875  0.000139160
1419.928551563  0.000138923
1419.931481250  0.000139549
1419.934410938  0.000139138
1419.937340625  0.000138968
1419.940270313  0.000138971
1419.943200000  0.000139091
1419.946129688  0.000138957
1419.949059375  0.000139058
1419.951989063  0.000138829
1419.954918750  0.000139356
1419.957848438  0.000139328
1419.960778125  0.000139301
1419.963707813  0.000139466
1419.966637500  0.000139425
1419.969567188  0.000139252
1419.972496875  0.000139154
1419.975426563  0.000139176
1419.978356250  0.000139173
1419.981285938  0.000139221
1419.984215625  0.000139246
1419.987145313  0.000139463
1419.990075000  0.000139303
1419.993004688  0.000139664
1419.995934375  0.000138693
1419.998864063  0.000139247
1420.001793750  0.000139009
1420.004723438  0.000139222
1420.007653125  0.000138720
1420.010582813  0.000138756
1420.013512500  0.000139367
1420.016442188  0.000138821
1420.019371875  0.000139168
1420.022301563  0.000139048
1420.025231250  0.000139304
1420.028160938  0.000138648
1420.031090625  0.000139496
1420.034020313  0.000138986
1420.036950000  0.000138758
1420.039879688  0.000138958
1420.042809375  0.000138114
1420.045739063  0.000138589
1420.048668750  0.000139070
1420.051598438  0.000139104
1420.054528125  0.000139671
1420.057457813  0.000138718
1420.060387500  0.000138884
1420.063317188  0.000138694
1420.066246875  0.000138749
1420.069176563  0.000139356
1420.072106250  0.000138924
1420.075035938  0.000138843
1420.077965625  0.000138791
1420.080895313  0.000139019
1420.083825000  0.000139017
1420.086754688  0.000139064
1420.089684375  0.000138729
1420.092614063  0.000138547
1420.095543750  0.000138769
1420.098473438  0.000138602
1420.101403125  0.000138653
1420.104332813  0.000138674
1420.107262500  0.000139077
1420.110192188  0.000138863
1420.113121875  0.000138927
1420.116051563  0.000138808
1420.118981250  0.000138690
1420.121910938  0.000138962
1420.124840625  0.000138698
1420.127770313  0.000138660
1420.130700000  0.000138819
1420.133629688  0.000138664
1420.136559375  0.000138683
1420.139489063  0.000138741
1420.142418750  0.000139265
1420.145348438  0.000138988
1420.148278125  0.000139094
1420.151207813  0.000138631
1420.154137500  0.000139095
1420.157067188  0.000138801
1420.159996875  0.000138876
1420.162926563  0.000138671
1420.165856250  0.000138756
1420.168785938  0.000138802
1420.171715625  0.000139052
1420.174645313  0.000139489
1420.177575000  0.000139012
1420.180504688  0.000139158
1420.183434375  0.000139131
1420.186364063  0.000139320
1420.189293750  0.000139086
1420.192223438  0.000139021
1420.195153125  0.000139101
1420.198082813  0.000139145
1420.201012500  0.000139604
1420.203942188  0.000139602
1420.206871875  0.000139654
1420.209801563  0.000139396
1420.212731250  0.000139669
1420.215660938  0.000139957
1420.218590625  0.000139830
1420.221520313  0.000139735
1420.224450000  0.000139626
1420.227379688  0.000139705
1420.230309375  0.000140482
1420.233239063  0.000140660
1420.236168750  0.000140985
1420.239098438  0.000141168
1420.242028125  0.000141467
1420.244957813  0.000141714
1420.247887500  0.000142411
1420.250817188  0.000142903
1420.253746875  0.000143158
1420.256676563  0.000143813
1420.259606250  0.000144677
1420.262535938  0.000145991
1420.265465625  0.000146492
1420.268395313  0.000147614
1420.271325000  0.000148527
1420.274254688  0.000150340
1420.277184375  0.000151573
1420.280114063  0.000152659
1420.283043750  0.000153614
1420.285973438  0.000154400
1420.288903125  0.000154857
1420.291832813  0.000156301
1420.294762500  0.000157669
1420.297692188  0.000158242
1420.300621875  0.000159198
1420.303551563  0.000159772
1420.306481250  0.000160849
1420.309410938  0.000161391
1420.312340625  0.000161711
1420.315270313  0.000161777
1420.318200000  0.000162211
1420.321129688  0.000162002
1420.324059375  0.000162298
1420.326989063  0.000162046
1420.329918750  0.000162004
1420.332848438  0.000161657
1420.335778125  0.000161882
1420.338707813  0.000161920
1420.341637500  0.000161388
1420.344567188  0.000161863
1420.347496875  0.000162185
1420.350426563  0.000162484
1420.353356250  0.000162730
1420.356285938  0.000162728
1420.359215625  0.000162817
1420.362145313  0.000163105
1420.365075000  0.000162574
1420.368004688  0.000162384
1420.370934375  0.000162121
1420.373864063  0.000161384
1420.376793750  0.000161604
1420.379723438  0.000161031
1420.382653125  0.000161251
1420.385582813  0.000160618
1420.388512500  0.000160226
1420.391442188  0.000159360
1420.394371875  0.000158982
1420.397301563  0.000159014
1420.400231250  0.000158547
1420.403160938  0.000157810
1420.406090625  0.000157696
1420.409020313  0.000157472
1420.411950000  0.000157635
1420.414879688  0.000157327
1420.417809375  0.000157312
1420.420739063  0.000157688
1420.423668750  0.000157220
1420.426598438  0.000157548
1420.429528125  0.000158306
1420.432457813  0.000158075
1420.435387500  0.000158344
1420.438317188  0.000159183
1420.441246875  0.000158906
1420.444176563  0.000159360
1420.447106250  0.000159415
1420.450035938  0.000159706
1420.452965625  0.000159665
1420.455895313  0.000159269
1420.458825000  0.000159864
1420.461754688  0.000160196
1420.464684375  0.000159887
1420.467614063  0.000159830
1420.470543750  0.000159660
1420.473473438  0.000159802
1420.476403125  0.000160191
1420.479332813  0.000159489
1420.482262500  0.000159316
1420.485192188  0.000159362
1420.488121875  0.000158628
1420.491051563  0.000158764
1420.493981250  0.000158529
1420.496910938  0.000158252
1420.499840625  0.000157316
1420.502770313  0.000157109
1420.505700000  0.000157604
1420.508629688  0.000156949
1420.511559375  0.000156433
1420.514489063  0.000156074
1420.517418750  0.000155323
1420.520348438  0.000154918
1420.523278125  0.000154741
1420.526207813  0.000154559
1420.529137500  0.000154035
1420.532067188  0.000153660
1420.534996875  0.000153191
1420.537926563  0.000152820
1420.540856250  0.000152649
1420.543785938  0.000152507
1420.546715625  0.000151820
1420.549645313  0.000151753
1420.552575000  0.000151027
1420.555504688  0.000150704
1420.558434375  0.000150356
1420.561364063  0.000150437
1420.564293750  0.000150122
1420.567223438  0.000150060
1420.570153125  0.000149491
1420.573082813  0.000149442
1420.576012500  0.000148784
1420.578942188  0.000148049
1420.581871875  0.000148467
1420.584801563  0.000147551
1420.587731250  0.000146999
1420.590660938  0.000146796
1420.593590625  0.000146126
1420.596520313  0.000146127
1420.599450000  0.000145914
1420.602379688  0.000145258
1420.605309375  0.000145595
1420.608239063  0.000144822
1420.611168750  0.000144636
1420.614098438  0.000144522
1420.617028125  0.000143475
1420.619957813  0.000143543
1420.622887500  0.000143498
1420.625817188  0.000143729
1420.628746875  0.000143570
1420.631676563  0.000143661
1420.634606250  0.000142871
1420.637535938  0.000143030
1420.640465625  0.000143105
1420.643395313  0.000143067
1420.646325000  0.000142844
1420.649254688  0.000142849
1420.652184375  0.000143227
1420.655114063  0.000142793
1420.658043750  0.000143064
1420.660973438  0.000142389
1420.663903125  0.000141962
1420.666832813  0.000142509
1420.669762500  0.000141991
1420.672692188  0.000142393
1420.675621875  0.000142100
1420.678551563  0.000141573
1420.681481250  0.000141505
1420.684410938  0.000141348
1420.687340625  0.000141462
1420.690270313  0.000141469
1420.693200000  0.000140634
1420.696129688  0.000140719
1420.699059375  0.000140764
1420.701989063  0.000140162
1420.704918750  0.000140564
1420.707848438  0.000140030
1420.710778125  0.000139712
1420.713707813  0.000139955
1420.716637500  0.000139778
1420.719567188  0.000139863
1420.722496875  0.000139398
1420.725426563  0.000139349
1420.728356250  0.000139108
1420.731285938  0.000138983
1420.734215625  0.000139480
1420.737145313  0.000139319
1420.740075000  0.000139120
1420.743004688  0.000138914
1420.745934375  0.000139088
1420.748864063  0.000139400
1420.751793750  0.000139114
1420.754723438  0.000138880
1420.757653125  0.000138525
1420.760582813  0.000138480
1420.763512500  0.000138684
1420.766442188  0.000138619
1420.769371875  0.000138598
1420.772301563  0.000138569
1420.775231250  0.000137954
1420.778160938  0.000138601
1420.781090625  0.000138726
1420.784020313  0.000137998
1420.786950000  0.000138016
1420.789879688  0.000138259
1420.792809375  0.000137939
1420.795739063  0.000138346
1420.798668750  0.000138157
1420.801598438  0.000138278
1420.804528125  0.000138082
1420.807457813  0.000138022
1420.810387500  0.000138134
1420.813317188  0.000138073
1420.816246875  0.000138000
1420.819176563  0.000137810
1420.822106250  0.000137448
1420.825035938  0.000137884
1420.827965625  0.000137667
1420.830895313  0.000137895
1420.833825000  0.000137923
1420.836754688  0.000137551
1420.839684375  0.000137839
1420.842614063  0.000137528
1420.845543750  0.000137468
1420.848473438  0.000137925
1420.851403125  0.000137849
1420.854332813  0.000137141
1420.857262500  0.000137684
1420.860192188  0.000137127
1420.863121875  0.000137432
1420.866051563  0.000137465
1420.868981250  0.000137439
1420.871910938  0.000137444
1420.874840625  0.000137023
1420.877770313  0.000137127
1420.880700000  0.000137271
1420.883629688  0.000137292
1420.886559375  0.000137445
1420.889489063  0.000137083
1420.892418750  0.000137058
1420.895348438  0.000137453
1420.898278125  0.000137711
1420.901207813  0.000137894
1420.904137500  0.000137189
1420.907067188  0.000136928
1420.909996875  0.000137345
1420.912926563  0.000137566
1420.915856250  0.000137305
1420.918785938  0.000137164
1420.921715625  0.000137250
1420.924645313  0.000137263
1420.927575000  0.000137447
1420.930504688  0.000137189
1420.933434375  0.000137854
1420.936364063  0.000137395
1420.939293750  0.000137324
1420.942223438  0.000137187
1420.945153125  0.000137717
1420.948082813  0.000137832
1420.951012500  0.000137098
1420.953942188  0.000137011
1420.956871875  0.000136894
1420.959801563  0.000137786
1420.962731250  0.000137510
1420.965660938  0.000137021
1420.968590625  0.000136874
1420.971520313  0.000137017
1420.974450000  0.000137183
1420.977379688  0.000137401
1420.980309375  0.000137686
1420.983239063  0.000137325
1420.986168750  0.000136812
1420.989098438  0.000137387
1420.992028125  0.000137338
1420.994957813  0.000137248
1420.997887500  0.000136995
1421.000817188  0.000136958
1421.003746875  0.000137585
1421.006676563  0.000137559
1421.009606250  0.000137188
1421.012535938  0.000137200
1421.015465625  0.000137218
1421.018395313  0.000136984
1421.021325000  0.000137495
1421.024254688  0.000137191
1421.027184375  0.000136963
1421.030114063  0.000137052
1421.033043750  0.000137142
1421.035973438  0.000137570
1421.038903125  0.000137160
1421.041832813  0.000137254
1421.044762500  0.000136909
1421.047692188  0.000137345
1421.050621875  0.000137322
1421.053551563  0.000137500
1421.056481250  0.000137729
1421.059410938  0.000137128
1421.062340625  0.000137102
1421.065270313  0.000137234
1421.068200000  0.000137316
1421.071129688  0.000137627
1421.074059375  0.000137543
1421.076989063  0.000137105
1421.079918750  0.000137698
1421.082848438  0.000137537
1421.085778125  0.000137551
1421.088707813  0.000137329
1421.091637500  0.000137433
1421.094567188  0.000137485
1421.097496875  0.000137392
1421.100426563  0.000137695
1421.103356250  0.000137363
1421.106285938  0.000137649
1421.109215625  0.000137410
1421.112145313  0.000137595
1421.115075000  0.000137681
1421.118004688  0.000137494
1421.120934375  0.000137640
1421.123864063  0.000137602
1421.126793750  0.000137607
1421.129723438  0.000137492
1421.132653125  0.000137477
1421.135582813  0.000137763
1421.138512500  0.000137428
1421.141442188  0.000137625
1421.144371875  0.000137560
1421.147301563  0.000137706
1421.150231250  0.000137265
1421.153160938  0.000137796
1421.156090625  0.000137958
1421.159020313  0.000137300
1421.161950000  0.000137342
1421.164879688  0.000137771
1421.167809375  0.000137497
1421.170739063  0.000137845
1421.173668750  0.000137526
1421.176598438  0.000138158
1421.179528125  0.000137615
1421.182457813  0.000137696
1421.185387500  0.000137804
1421.188317188  0.000138049
1421.191246875  0.000137882
1421.194176563  0.000137657
1421.197106250  0.000137715
1421.200035938  0.000137592
1421.202965625  0.000138246
1421.205895313  0.000137746
1421.208825000  0.000137951
1421.211754688  0.000137593
1421.214684375  0.000137759
1421.217614063  0.000138111
1421.220543750  0.000137884
1421.223473438  0.000137886
1421.226403125  0.000137668
1421.229332813  0.000137977
1421.232262500  0.000138518
1421.235192188  0.000138162
1421.238121875  0.000138614
1421.241051563  0.000138280
1421.243981250  0.000138274
1421.246910938  0.000138297
1421.249840625  0.000138491
1421.252770313  0.000138663

