3/28/2023 8:41:35 PM  Counts:405500
1419.755700000  0.000168305
1419.758629688  0.000168257
1419.761559375  0.000168081
1419.764489063  0.000167863
1419.767418750  0.000168115
1419.770348438  0.000168086
1419.773278125  0.000167912
1419.776207813  0.000169730
1419.779137500  0.000167448
1419.782067188  0.000167424
1419.784996875  0.000166461
1419.787926563  0.000167367
1419.790856250  0.000167604
1419.793785938  0.000167518
1419.796715625  0.000168515
1419.799645313  0.000169336
1419.802575000  0.000169195
1419.805504688  0.000168760
1419.808434375  0.000169037
1419.811364063  0.000168736
1419.814293750  0.000168541
1419.817223438  0.000168370
1419.820153125  0.000168198
1419.823082813  0.000168999
1419.826012500  0.000168659
1419.828942188  0.000169854
1419.831871875  0.000169314
1419.834801563  0.000169784
1419.837731250  0.000169963
1419.840660938  0.000168837
1419.843590625  0.000169661
1419.846520313  0.000168902
1419.849450000  0.000169632
1419.852379688  0.000169380
1419.855309375  0.000169037
1419.858239063  0.000169861
1419.861168750  0.000170262
1419.864098438  0.000171117
1419.867028125  0.000170815
1419.869957813  0.000170498
1419.872887500  0.000170544
1419.875817188  0.000171945
1419.878746875  0.000170359
1419.881676563  0.000171058
1419.884606250  0.000171164
1419.887535938  0.000170718
1419.890465625  0.000171765
1419.893395313  0.000171130
1419.896325000  0.000172112
1419.899254688  0.000171008
1419.902184375  0.000171256
1419.905114063  0.000172146
1419.908043750  0.000171707
1419.910973438  0.000171722
1419.913903125  0.000172303
1419.916832813  0.000172489
1419.919762500  0.000173129
1419.922692188  0.000172713
1419.925621875  0.000173220
1419.928551563  0.000173251
1419.931481250  0.000173506
1419.934410938  0.000172690
1419.937340625  0.000172793
1419.940270313  0.000172291
1419.943200000  0.000174369
1419.946129688  0.000172980
1419.949059375  0.000172132
1419.951989063  0.000174277
1419.954918750  0.000173083
1419.957848438  0.000173860
1419.960778125  0.000173129
1419.963707813  0.000173445
1419.966637500  0.000172512
1419.969567188  0.000173186
1419.972496875  0.000172226
1419.975426563  0.000173236
1419.978356250  0.000172786
1419.981285938  0.000173056
1419.984215625  0.000173924
1419.987145313  0.000173187
1419.990075000  0.000174249
1419.993004688  0.000173587
1419.995934375  0.000172889
1419.998864063  0.000172492
1420.001793750  0.000172196
1420.004723438  0.000172579
1420.007653125  0.000171943
1420.010582813  0.000172737
1420.013512500  0.000173387
1420.016442188  0.000173505
1420.019371875  0.000172988
1420.022301563  0.000172356
1420.025231250  0.000173022
1420.028160938  0.000172391
1420.031090625  0.000172924
1420.034020313  0.000173028
1420.036950000  0.000172382
1420.039879688  0.000173175
1420.042809375  0.000173897
1420.045739063  0.000173639
1420.048668750  0.000174610
1420.051598438  0.000174653
1420.054528125  0.000174151
1420.057457813  0.000173230
1420.060387500  0.000174356
1420.063317188  0.000173890
1420.066246875  0.000173082
1420.069176563  0.000173962
1420.072106250  0.000175385
1420.075035938  0.000174781
1420.077965625  0.000175293
1420.080895313  0.000175168
1420.083825000  0.000176077
1420.086754688  0.000175616
1420.089684375  0.000175541
1420.092614063  0.000176171
1420.095543750  0.000176562
1420.098473438  0.000175985
1420.101403125  0.000176673
1420.104332813  0.000177331
1420.107262500  0.000179845
1420.110192188  0.000178779
1420.113121875  0.000179111
1420.116051563  0.000178610
1420.118981250  0.000178731
