2/13/2024 11:23:38 AM  Counts:405500
1420.255700000  0.000226105
1420.258629688  0.000226148
1420.261559375  0.000231748
1420.264489063  0.000231842
1420.267418750  0.000231142
1420.270348438  0.000236135
1420.273278125  0.000232041
1420.276207813  0.000233494
1420.279137500  0.000240119
1420.282067188  0.000235536
1420.284996875  0.000233840
1420.287926563  0.000234546
1420.290856250  0.000234763
1420.293785938  0.000237205
1420.296715625  0.000233085
1420.299645313  0.000234315
1420.302575000  0.000238499
1420.305504688  0.000232857
1420.308434375  0.000242434
1420.311364063  0.000235066
1420.314293750  0.000236824
1420.317223438  0.000238218
1420.320153125  0.000232599
1420.323082813  0.000239126
1420.326012500  0.000236023
1420.328942188  0.000236015
1420.331871875  0.000234904
1420.334801563  0.000234742
1420.337731250  0.000241233
1420.340660938  0.000237289
1420.343590625  0.000233866
1420.346520313  0.000234048
1420.349450000  0.000231559
1420.352379688  0.000240587
1420.355309375  0.000239395
1420.358239063  0.000233894
1420.361168750  0.000239057
1420.364098438  0.000234040
1420.367028125  0.000235088
1420.369957813  0.000237618
1420.372887500  0.000233395
1420.375817188  0.000238483
1420.378746875  0.000231615
1420.381676563  0.000238259
1420.384606250  0.000237563
1420.387535938  0.000234551
1420.390465625  0.000239219
1420.393395313  0.000234890
1420.396325000  0.000239221
1420.399254688  0.000239571
1420.402184375  0.000237537
1420.405114063  0.000238347
1420.408043750  0.000233403
1420.410973438  0.000235687
1420.413903125  0.000239119
1420.416832813  0.000235385
1420.419762500  0.000238914
1420.422692188  0.000237146
1420.425621875  0.000235250
1420.428551563  0.000238116
1420.431481250  0.000238933
1420.434410938  0.000235075
1420.437340625  0.000237483
1420.440270313  0.000237608
1420.443200000  0.000238355
1420.446129688  0.000237788
1420.449059375  0.000238504
1420.451989063  0.000236450
1420.454918750  0.000237592
1420.457848438  0.000240891
1420.460778125  0.000238176
1420.463707813  0.000240024
1420.466637500  0.000234504
1420.469567188  0.000235755
1420.472496875  0.000237165
1420.475426563  0.000234798
1420.478356250  0.000237272
1420.481285938  0.000235797
1420.484215625  0.000238096
1420.487145313  0.000236116
1420.490075000  0.000238942
1420.493004688  0.000240576
1420.495934375  0.000233584
1420.498864063  0.000239028
1420.501793750  0.000240960
1420.504723438  0.000237680
1420.507653125  0.000241584
1420.510582813  0.000240001
1420.513512500  0.000239167
1420.516442188  0.000240339
1420.519371875  0.000238667
1420.522301563  0.000243937
1420.525231250  0.000241954
1420.528160938  0.000238102
1420.531090625  0.000239031
1420.534020313  0.000235779
1420.536950000  0.000244363
1420.539879688  0.000235758
1420.542809375  0.000235104
1420.545739063  0.000239344
1420.548668750  0.000232483
1420.551598438  0.000242434
1420.554528125  0.000234037
1420.557457813  0.000231236
1420.560387500  0.000233873
1420.563317188  0.000230316
1420.566246875  0.000234994
1420.569176563  0.000235447
1420.572106250  0.000228209
1420.575035938  0.000234849
1420.577965625  0.000227141
1420.580895313  0.000234066
1420.583825000  0.000234781
1420.586754688  0.000225949
1420.589684375  0.000230086
1420.592614063  0.000227323
1420.595543750  0.000227251
1420.598473438  0.000232141
1420.601403125  0.000224650
1420.604332813  0.000233253
1420.607262500  0.000228693
1420.610192188  0.000229734
1420.613121875  0.000237416
1420.616051563  0.000228165
1420.618981250  0.000230326
1420.621910938  0.000228868
1420.624840625  0.000225188
1420.627770313  0.000236182
1420.630700000  0.000230590
1420.633629688  0.000227014
1420.636559375  0.000228565
1420.639489063  0.000228883
1420.642418750  0.000233486
1420.645348438  0.000226230
1420.648278125  0.000224462
1420.651207813  0.000229104
1420.654137500  0.000225106
1420.657067188  0.000232815
1420.659996875  0.000229122
1420.662926563  0.000224881
1420.665856250  0.000230579
1420.668785938  0.000227770
1420.671715625  0.000231771
1420.674645313  0.000230138
1420.677575000  0.000229407
1420.680504688  0.000227361
1420.683434375  0.000225216
1420.686364063  0.000228177
1420.689293750  0.000229130
1420.692223438  0.000224626
1420.695153125  0.000227839
1420.698082813  0.000225534
1420.701012500  0.000231195
1420.703942188  0.000229799
1420.706871875  0.000225333
1420.709801563  0.000224686
1420.712731250  0.000225066
1420.715660938  0.000227293
1420.718590625  0.000228098
1420.721520313  0.000229793
1420.724450000  0.000228578
1420.727379688  0.000223584
1420.730309375  0.000228242
1420.733239063  0.000229051
1420.736168750  0.000224392
1420.739098438  0.000228394
1420.742028125  0.000226994
1420.744957813  0.000226421
1420.747887500  0.000229710
1420.750817188  0.000227894
1420.753746875  0.000225896
1420.756676563  0.000224572
1420.759606250  0.000229917
1420.762535938  0.000228003
1420.765465625  0.000227672
1420.768395313  0.000226213
1420.771325000  0.000226119
1420.774254688  0.000225664
1420.777184375  0.000225175
1420.780114063  0.000228195
1420.783043750  0.000227044
1420.785973438  0.000223817
1420.788903125  0.000225400
1420.791832813  0.000225360
1420.794762500  0.000228892
1420.797692188  0.000224988
1420.800621875  0.000222306
1420.803551563  0.000228312
1420.806481250  0.000225940
1420.809410938  0.000224336
1420.812340625  0.000228026
1420.815270313  0.000220913
1420.818200000  0.000226991
1420.821129688  0.000229184
1420.824059375  0.000224557
1420.826989063  0.000229555
1420.829918750  0.000222667
1420.832848438  0.000225617
1420.835778125  0.000224254
1420.838707813  0.000223223
1420.841637500  0.000228236
1420.844567188  0.000223815
1420.847496875  0.000223241
1420.850426563  0.000224813
1420.853356250  0.000224927
1420.856285938  0.000226504
1420.859215625  0.000222342
1420.862145313  0.000222527
1420.865075000  0.000227798
1420.868004688  0.000225062
1420.870934375  0.000229901
1420.873864063  0.000224793
1420.876793750  0.000222488
1420.879723438  0.000223939
1420.882653125  0.000223156
1420.885582813  0.000229962
1420.888512500  0.000228177
1420.891442188  0.000221822
1420.894371875  0.000223011
1420.897301563  0.000219881
1420.900231250  0.000225449
1420.903160938  0.000226581
1420.906090625  0.000222212
1420.909020313  0.000228056
1420.911950000  0.000222304
1420.914879688  0.000232573
1420.917809375  0.000226016
1420.920739063  0.000220397
1420.923668750  0.000228151
1420.926598438  0.000222973
1420.929528125  0.000223992
1420.932457813  0.000228800
1420.935387500  0.000223826
1420.938317188  0.000224156
1420.941246875  0.000220927
1420.944176563  0.000226976
1420.947106250  0.000225597
1420.950035938  0.000221875
1420.952965625  0.000225461
1420.955895313  0.000222538
1420.958825000  0.000223280
1420.961754688  0.000228105
1420.964684375  0.000219103
